schedule_id,staff_id,date,shift_type,start_time,end_time,location,assignments,breaks,overtime,quality_metrics,notes
SCH000001,DOC0001,2025-05-15,Night,2025-05-15 20:00:02.452019,2025-05-16 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training'], 'patient_load': 5, 'supervision': 'Supervising', 'special_assignments': ['Code Team', 'Rapid Response']}","{'lunch': 32, 'short_breaks': 2, 'break_duration': 10}","{'scheduled': False, 'hours': 2, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 3.9038447139491357, 'documentation_completion': 0.9691536862093285, 'protocol_adherence': 0.92817464849783, 'team_collaboration': 4.337304124565446}",Team building activities
SCH000002,DOC0001,2025-05-16,Night,2025-05-16 20:00:02.452019,2025-05-17 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Documentation', 'Quality Assurance'], 'patient_load': 3, 'supervision': 'None', 'special_assignments': ['Emergency Response', 'Code Team']}","{'lunch': 48, 'short_breaks': 4, 'break_duration': 11}","{'scheduled': False, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 4.5607252491225045, 'documentation_completion': 0.8674477421510822, 'protocol_adherence': 0.9433593989037644, 'team_collaboration': 4.140905403258459}",Regular shift
SCH000003,DOC0001,2025-05-17,Night,2025-05-17 20:00:02.452019,2025-05-18 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care', 'Documentation'], 'patient_load': 4, 'supervision': 'Supervised', 'special_assignments': ['Rapid Response']}","{'lunch': 41, 'short_breaks': 3, 'break_duration': 10}","{'scheduled': False, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 3.7475669175819086, 'documentation_completion': 0.8874867848664563, 'protocol_adherence': 0.9613200140604375, 'team_collaboration': 4.577894854617869}",Quality improvement focus
SCH000004,DOC0001,2025-05-18,Day,2025-05-18 08:00:02.452019,2025-05-18 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care'], 'patient_load': 6, 'supervision': 'Supervised', 'special_assignments': []}","{'lunch': 35, 'short_breaks': 2, 'break_duration': 12}","{'scheduled': True, 'hours': 1, 'reason': 'Emergency'}","{'patient_satisfaction': 4.215385826544926, 'documentation_completion': 0.9096409704198828, 'protocol_adherence': 0.935756224365333, 'team_collaboration': 4.223827321316349}",Team building activities
SCH000005,DOC0001,2025-05-19,Day,2025-05-19 08:00:02.452019,2025-05-19 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training', 'Quality Assurance'], 'patient_load': 9, 'supervision': 'Supervised', 'special_assignments': ['Emergency Response']}","{'lunch': 38, 'short_breaks': 4, 'break_duration': 14}","{'scheduled': True, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 3.9193380364345747, 'documentation_completion': 0.991830590226257, 'protocol_adherence': 0.9214587212585859, 'team_collaboration': 4.437900588685799}",Regular shift
SCH000006,DOC0001,2025-05-20,Day,2025-05-20 08:00:02.452019,2025-05-20 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance', 'Patient Care', 'Documentation'], 'patient_load': 9, 'supervision': 'Supervised', 'special_assignments': ['Code Team']}","{'lunch': 32, 'short_breaks': 2, 'break_duration': 11}","{'scheduled': False, 'hours': 0, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 4.958361309739763, 'documentation_completion': 0.8188544187258746, 'protocol_adherence': 0.9061192857724188, 'team_collaboration': 4.350986107482251}",Regular shift
SCH000007,DOC0001,2025-05-21,Day,2025-05-21 08:00:02.452019,2025-05-21 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance'], 'patient_load': 6, 'supervision': 'None', 'special_assignments': ['Code Team', 'Emergency Response']}","{'lunch': 34, 'short_breaks': 4, 'break_duration': 13}","{'scheduled': False, 'hours': 4, 'reason': 'Special Project'}","{'patient_satisfaction': 4.789985874780244, 'documentation_completion': 0.9765027397599325, 'protocol_adherence': 0.9423436382278044, 'team_collaboration': 4.408380224273907}",Team building activities
SCH000008,DOC0001,2025-05-22,On-Call,2025-05-22 00:00:02.452019,2025-05-22 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Documentation', 'Training', 'Quality Assurance'], 'patient_load': 6, 'supervision': 'None', 'special_assignments': ['Code Team']}","{'lunch': 44, 'short_breaks': 4, 'break_duration': 11}","{'scheduled': False, 'hours': 0, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 4.210725353629132, 'documentation_completion': 0.824841611483078, 'protocol_adherence': 0.9119771028509858, 'team_collaboration': 4.342128113643067}",Regular shift
SCH000009,DOC0001,2025-05-23,Day,2025-05-23 08:00:02.452019,2025-05-23 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training'], 'patient_load': 10, 'supervision': 'Supervising', 'special_assignments': ['Emergency Response']}","{'lunch': 57, 'short_breaks': 3, 'break_duration': 15}","{'scheduled': False, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 4.488791575207164, 'documentation_completion': 0.808165501110797, 'protocol_adherence': 0.9746244170419311, 'team_collaboration': 4.015225455339358}",New protocol implementation
SCH000010,DOC0001,2025-05-24,On-Call,2025-05-24 00:00:02.452019,2025-05-24 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care', 'Training'], 'patient_load': 9, 'supervision': 'Supervised', 'special_assignments': ['Code Team', 'Rapid Response']}","{'lunch': 53, 'short_breaks': 4, 'break_duration': 14}","{'scheduled': False, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 3.5815237773135538, 'documentation_completion': 0.953309104727164, 'protocol_adherence': 0.9350577510267579, 'team_collaboration': 3.5988701888867674}",Quality improvement focus
SCH000011,DOC0001,2025-05-25,On-Call,2025-05-25 00:00:02.452019,2025-05-25 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance', 'Patient Care'], 'patient_load': 5, 'supervision': 'Supervised', 'special_assignments': ['Emergency Response']}","{'lunch': 43, 'short_breaks': 2, 'break_duration': 14}","{'scheduled': True, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 4.76822765554514, 'documentation_completion': 0.8094800057855239, 'protocol_adherence': 0.9643702095326377, 'team_collaboration': 4.778978319084009}",New protocol implementation
SCH000012,DOC0001,2025-05-26,Night,2025-05-26 20:00:02.452019,2025-05-27 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training', 'Quality Assurance'], 'patient_load': 6, 'supervision': 'None', 'special_assignments': ['Rapid Response', 'Emergency Response']}","{'lunch': 38, 'short_breaks': 4, 'break_duration': 13}","{'scheduled': True, 'hours': 0, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 4.727671338823808, 'documentation_completion': 0.9579682262765495, 'protocol_adherence': 0.975637475738385, 'team_collaboration': 4.789628812704722}",Quality improvement focus
SCH000013,DOC0001,2025-05-27,Day,2025-05-27 08:00:02.452019,2025-05-27 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training', 'Documentation', 'Patient Care'], 'patient_load': 5, 'supervision': 'None', 'special_assignments': ['Rapid Response']}","{'lunch': 36, 'short_breaks': 4, 'break_duration': 12}","{'scheduled': True, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 4.28344011413027, 'documentation_completion': 0.9034444845159555, 'protocol_adherence': 0.9968332961050355, 'team_collaboration': 4.6355459751277035}",Quality improvement focus
SCH000014,DOC0001,2025-05-28,Day,2025-05-28 08:00:02.452019,2025-05-28 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance'], 'patient_load': 2, 'supervision': 'Supervising', 'special_assignments': ['Rapid Response', 'Code Team']}","{'lunch': 48, 'short_breaks': 4, 'break_duration': 10}","{'scheduled': False, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 3.8586433558219624, 'documentation_completion': 0.9295864618326853, 'protocol_adherence': 0.9335102496096448, 'team_collaboration': 3.909628507236034}",New protocol implementation
SCH000015,DOC0001,2025-05-29,Day,2025-05-29 08:00:02.452019,2025-05-29 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training'], 'patient_load': 7, 'supervision': 'Supervising', 'special_assignments': []}","{'lunch': 34, 'short_breaks': 3, 'break_duration': 12}","{'scheduled': False, 'hours': 4, 'reason': 'Special Project'}","{'patient_satisfaction': 3.751902407805005, 'documentation_completion': 0.8934656166907414, 'protocol_adherence': 0.9675241224144071, 'team_collaboration': 4.344945407996627}",Training day
SCH000016,DOC0001,2025-05-30,Day,2025-05-30 08:00:02.452019,2025-05-30 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance', 'Patient Care'], 'patient_load': 9, 'supervision': 'None', 'special_assignments': []}","{'lunch': 44, 'short_breaks': 2, 'break_duration': 14}","{'scheduled': False, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 3.5571608567718824, 'documentation_completion': 0.9191230628016621, 'protocol_adherence': 0.9359584030337296, 'team_collaboration': 3.98923737978889}",Regular shift
SCH000017,DOC0001,2025-05-31,Day,2025-05-31 08:00:02.452019,2025-05-31 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Documentation', 'Quality Assurance', 'Training'], 'patient_load': 7, 'supervision': 'Supervising', 'special_assignments': ['Emergency Response']}","{'lunch': 60, 'short_breaks': 3, 'break_duration': 14}","{'scheduled': False, 'hours': 0, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 3.932278535153921, 'documentation_completion': 0.9985981062884857, 'protocol_adherence': 0.9454895074651973, 'team_collaboration': 3.920847034082337}",New protocol implementation
SCH000018,DOC0001,2025-06-01,On-Call,2025-06-01 00:00:02.452019,2025-06-01 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care', 'Training'], 'patient_load': 9, 'supervision': 'None', 'special_assignments': ['Code Team']}","{'lunch': 51, 'short_breaks': 2, 'break_duration': 14}","{'scheduled': True, 'hours': 0, 'reason': 'Training'}","{'patient_satisfaction': 4.099922010880987, 'documentation_completion': 0.863299915406101, 'protocol_adherence': 0.947115454650597, 'team_collaboration': 4.4948222571221095}",Regular shift
SCH000019,DOC0001,2025-06-02,Night,2025-06-02 20:00:02.452019,2025-06-03 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training', 'Quality Assurance'], 'patient_load': 8, 'supervision': 'Supervising', 'special_assignments': []}","{'lunch': 39, 'short_breaks': 4, 'break_duration': 11}","{'scheduled': False, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 4.8710346203105175, 'documentation_completion': 0.8900828566756301, 'protocol_adherence': 0.9299780967322775, 'team_collaboration': 4.522236086403375}",Training day
SCH000020,DOC0001,2025-06-03,Night,2025-06-03 20:00:02.452019,2025-06-04 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training'], 'patient_load': 1, 'supervision': 'Supervising', 'special_assignments': ['Code Team', 'Emergency Response']}","{'lunch': 57, 'short_breaks': 2, 'break_duration': 15}","{'scheduled': True, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 3.966591558792281, 'documentation_completion': 0.9670035246266783, 'protocol_adherence': 0.9157071528540478, 'team_collaboration': 4.362178910668842}",Quality improvement focus
SCH000021,DOC0001,2025-06-04,On-Call,2025-06-04 00:00:02.452019,2025-06-04 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training', 'Patient Care', 'Documentation'], 'patient_load': 10, 'supervision': 'Supervised', 'special_assignments': ['Code Team']}","{'lunch': 37, 'short_breaks': 2, 'break_duration': 12}","{'scheduled': False, 'hours': 0, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 4.605163178242634, 'documentation_completion': 0.9541517664788063, 'protocol_adherence': 0.9907926782369786, 'team_collaboration': 4.733116815286554}",Quality improvement focus
SCH000022,DOC0001,2025-06-05,On-Call,2025-06-05 00:00:02.452019,2025-06-05 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Documentation'], 'patient_load': 4, 'supervision': 'None', 'special_assignments': []}","{'lunch': 55, 'short_breaks': 3, 'break_duration': 12}","{'scheduled': True, 'hours': 2, 'reason': 'Special Project'}","{'patient_satisfaction': 4.28653840282803, 'documentation_completion': 0.9082987540427299, 'protocol_adherence': 0.930937875909185, 'team_collaboration': 4.380811508871739}",Quality improvement focus
SCH000023,DOC0001,2025-06-06,On-Call,2025-06-06 00:00:02.452019,2025-06-06 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training'], 'patient_load': 3, 'supervision': 'Supervising', 'special_assignments': []}","{'lunch': 46, 'short_breaks': 3, 'break_duration': 14}","{'scheduled': True, 'hours': 0, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 3.827206844660829, 'documentation_completion': 0.9153595503734796, 'protocol_adherence': 0.9567355087339643, 'team_collaboration': 4.0341608968598575}",Regular shift
SCH000024,DOC0001,2025-06-07,On-Call,2025-06-07 00:00:02.452019,2025-06-07 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care'], 'patient_load': 4, 'supervision': 'None', 'special_assignments': ['Rapid Response', 'Emergency Response']}","{'lunch': 59, 'short_breaks': 2, 'break_duration': 10}","{'scheduled': True, 'hours': 4, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 3.565631714149351, 'documentation_completion': 0.8768198397302506, 'protocol_adherence': 0.9183015913262343, 'team_collaboration': 3.718442273080231}",Regular shift
